version,size,threads,ef_search,build_time_s,build_qps,recall,query_qps,query_lat_ms
baseline,10000,1,10,2.1903,4566,0.5838,31223,0.032
baseline,10000,1,100,2.1903,4566,0.6345,6800,0.147
baseline,10000,8,10,0.4915,20347,0.9442,33758,0.0296
baseline,10000,8,100,0.4915,20347,0.9949,7662,0.1305
baseline,100000,1,10,40.326,2480,0.8292,17569,0.0569
baseline,100000,1,100,40.326,2480,0.9817,3729,0.2681
baseline,100000,8,10,8.9708,11147,0.817,17286,0.0578
baseline,100000,8,100,8.9708,11147,0.9738,3895,0.2568
v4_optimized,10000,1,10,2.3441,4266,0.6294,30899,0.0324
v4_optimized,10000,1,100,2.3441,4266,0.6904,7136,0.1401
v4_optimized,10000,8,10,0.4607,21705,0.934,34317,0.0291
v4_optimized,10000,8,100,0.4607,21705,0.9949,7747,0.1291
v4_optimized,100000,1,10,37.3158,2680,0.8176,20064,0.0498
v4_optimized,100000,1,100,37.3158,2680,0.9768,4110,0.2433
v4_optimized,100000,8,10,8.1605,12254,0.8157,19801,0.0505
v4_optimized,100000,8,100,8.1605,12254,0.975,3734,0.2678
