version,size,threads,ef_search,build_time_s,build_qps,recall,query_qps,query_lat_ms
baseline,10000,1,10,0.7504,13327,0.8883,116246,0.0086
baseline,10000,1,100,0.7504,13327,0.9442,22119,0.0452
baseline,10000,8,10,0.1957,51100,0.9188,108704,0.0092
baseline,10000,8,100,0.1957,51100,0.9898,20799,0.0481
baseline,100000,1,10,12.5493,7969,0.7553,65760,0.0152
baseline,100000,1,100,12.5493,7969,0.881,10636,0.094
baseline,100000,8,10,3.1354,31894,0.8121,60284,0.0166
baseline,100000,8,100,3.1354,31894,0.9774,10116,0.0989
v4_optimized,10000,1,10,0.7287,13723,0.9086,114862,0.0087
v4_optimized,10000,1,100,0.7287,13723,0.9594,21896,0.0457
v4_optimized,10000,8,10,0.1761,56778,0.9239,106075,0.0094
v4_optimized,10000,8,100,0.1761,56778,0.9949,20631,0.0485
v4_optimized,100000,1,10,12.6995,7874,0.8292,65035,0.0154
v4_optimized,100000,1,100,12.6995,7874,0.9823,10198,0.0981
v4_optimized,100000,8,10,3.1098,32156,0.8188,58759,0.017
v4_optimized,100000,8,100,3.1098,32156,0.9762,10228,0.0978
